Data;balanca_comercial
jan/95;-873,7
fev/95;-1527,20
mar/95;-1614,60
abr/95;-1164,40
mai/95;-1354,00
jun/95;-1518,20
jul/95;-794,3
ago/95;-646,7
set/95;-230,4
out/95;-416,6
nov/95;-722
dez/95;-725,6
jan/96;-673,4
fev/96;-562,8
mar/96;-965,3
abr/96;-434,1
mai/96;-561,6
jun/96;-1124,80
jul/96;-1515,60
ago/96;-1035,80
set/96;-1416,90
out/96;-2156,10
nov/96;-1689,20
dez/96;-2779,50
jan/97;292,8
fev/97;-1812,60
mar/97;-1528,20
abr/97;-1730,20
mai/97;-891,6
jun/97;-1542,40
jul/97;-1802,30
ago/97;-1184,10
set/97;-1806,40
out/97;-1950,00
nov/97;-2100,50
dez/97;-2043,80
jan/98;-1560,80
fev/98;-933,5
mar/98;-1758,40
abr/98;-874,2
mai/98;-949,9
jun/98;-655,8
jul/98;-1490,20
ago/98;-1048,70
set/98;-2378,30
out/98;-2615,70
nov/98;-1765,20
dez/98;-1479,50
jan/99;-1357,00
fev/99;-217,1
mar/99;-652,2
abr/99;-595,5
mai/99;-266,9
jun/99;-1033,10
jul/99;-603
ago/99;-867,5
set/99;-766,4
out/99;-810,2
nov/99;-1223,50
dez/99;-685,4
jan/00;-573,9
fev/00;-367,4
mar/00;-671,7
abr/00;-430,4
mai/00;-328,6
jun/00;-475,2
jul/00;-709,4
ago/00;-703,6
set/00;-542,3
out/00;-1360,80
nov/00;-1452,50
dez/00;-1217,80
jan/01;-1226,50
fev/01;-488,9
mar/01;-1022,20
abr/01;-428,3
mai/01;-710,3
jun/01;-717,1
jul/01;-808,1
ago/01;-70,3
set/01;20,1
out/01;-397,1
nov/01;-294
dez/01;91,1
jan/02;-152,1
fev/02;-184,9
mar/02;33,7
abr/02;-114,7
mai/02;-278,7
jun/02;155,2
jul/02;630,8
ago/02;1129,20
set/02;2056,50
out/02;1876,90
nov/02;915
dez/02;1164,60
jan/03;900,1
fev/03;767,7
mar/03;1162,60
abr/03;1202,10
mai/03;2009,10
jun/03;1708,80
jul/03;1599,00
ago/03;2113,40
set/03;2037,90
out/03;1914,40
nov/03;1451,70
dez/03;2161,60
jan/04;1450,30
fev/04;1732,50
mar/04;2131,00
abr/04;1451,30
mai/04;2813,00
jun/04;3211,00
jul/04;2964,50
ago/04;2872,60
set/04;2683,00
out/04;2601,40
nov/04;1522,00
dez/04;2784,40
jan/05;1818,00
fev/05;2362,30
mar/05;2765,40
abr/05;3235,50
mai/05;2537,00
jun/05;2969,20
jul/05;4238,20
ago/05;2760,10
set/05;3526,20
out/05;2977,20
nov/05;2995,00
dez/05;3358,20
jan/06;2309,10
fev/06;2098,70
mar/06;2939,60
abr/06;2364,20
mai/06;2109,90
jun/06;2972,80
jul/06;4573,50
ago/06;3485,70
set/06;3474,20
out/06;2826,00
nov/06;2440,80
dez/06;4114,30
jan/07;1641,20
fev/07;1955,70
mar/07;2109,60
abr/07;3271,70
mai/07;2559,80
jun/07;2332,80
jul/07;1929,20
ago/07;2387,90
set/07;2261,40
out/07;1944,90
nov/07;632,4
dez/07;2353,90
jan/08;-192,6
fev/08;-478,8
mar/08;-203,9
abr/08;521,3
mai/08;2098,30
jun/08;733,2
jul/08;1674,80
ago/08;832,3
set/08;740,2
out/08;458,1
nov/08;339
dez/08;419,3
jan/09;-1156,20
fev/09;797,7
mar/09;320,5
abr/09;2077,80
mai/09;819,5
jun/09;2581,80
jul/09;1344,60
ago/09;1289,80
set/09;-837,9
out/09;-803,1
nov/09;-1236,80
dez/09;186,1
jan/10;-1471,70
fev/10;-1602,30
mar/10;-2259,30
abr/10;-1146,40
mai/10;832,3
jun/10;-579,9
jul/10;-1542,70
ago/10;-308,7
set/10;-2225,20
out/10;-1209,70
nov/10;-2547,40
dez/10;2395,80
jan/11;-2181,70
fev/11;-1197,80
mar/11;-1583,20
abr/11;-1403,50
mai/11;-382,9
jun/11;867,8
jul/11;-506,5
ago/11;310,1
set/11;-121,3
out/11;-1087,30
nov/11;-2351,90
dez/11;96,8
jan/12;-4771,30
fev/12;-1086,50
mar/12;-1356,00
abr/12;-2383,10
mai/12;-840,1
jun/12;-2641,90
jul/12;-727,5
ago/12;73
set/12;-967,6
out/12;-2436,90
nov/12;-3490,70
dez/12;-2119,80
jan/13;-7763,40
fev/13;-4503,60
mar/13;-3620,70
abr/13;-4920,70
mai/13;-3595,40
jun/13;-1023,30
jul/13;-6079,60
ago/13;-3073,00
set/13;-2643,60
out/13;-5236,50
nov/13;-1911,20
dez/13;-1612,50
jan/14;-7133,20
fev/14;-5766,30
mar/14;-3735,00
abr/14;-3986,30
mai/14;-3896,60
jun/14;-1520,10
jul/14;-3091,50
ago/14;-2898,20
set/14;-5757,70
out/14;-5723,20
nov/14;-6382,90
dez/14;-4845,00
jan/15;-6480,30
fev/15;-5902,30
mar/15;-3621,00
abr/15;-3186,40
mai/15;-891,1
jun/15;916,7
jul/15;-711,2
ago/15;-244,5
set/15;-262,8
out/15;-1045,80
nov/15;-1385,10
dez/15;3553,10
jan/16;-259,2
fev/16;862,2
mar/16;1224,70
abr/16;2023,00
mai/16;3647,20
jun/16;46,3
jul/16;1953,40
ago/16;1611,10
set/16;933
out/16;-727,5
nov/16;2107,70
dez/16;766,1
jan/17;-317
fev/17;1601,70
mar/17;4057,90
abr/17;3886,20
mai/17;4598,00
jun/17;3419,10
jul/17;2698,10
ago/17;2077,10
set/17;1708,10
out/17;1875,50
nov/17;-228,6
dez/17;656,3
jan/18;-376,5
fev/18;21,4
mar/18;3248,40
abr/18;2481,80
mai/18;2811,00
jun/18;2321,70
jul/18;245,4
ago/18;-899,6
set/18;2209,00
out/18;2026,20
nov/18;694,3
dez/18;2530,10
jan/19;-1689,90
fev/19;476,8
mar/19;1755,80
abr/19;1987,70
mai/19;1822,10
jun/19;814,1
jul/19;-1822,80
ago/19;141,7
set/19;559,4
out/19;-1693,60
nov/19;711,6
