Data;balanca_comercial
jan/95;-873,7
fev/95;-1.527,20
mar/95;-1.614,60
abr/95;-1.164,40
mai/95;-1.354,00
jun/95;-1.518,20
jul/95;-794,3
ago/95;-646,7
set/95;-230,4
out/95;-416,6
nov/95;-722
dez/95;-725,6
jan/96;-673,4
fev/96;-562,8
mar/96;-965,3
abr/96;-434,1
mai/96;-561,6
jun/96;-1.124,80
jul/96;-1.515,60
ago/96;-1.035,80
set/96;-1.416,90
out/96;-2.156,10
nov/96;-1.689,20
dez/96;-2.779,50
jan/97;292,8
fev/97;-1.812,60
mar/97;-1.528,20
abr/97;-1.730,20
mai/97;-891,6
jun/97;-1.542,40
jul/97;-1.802,30
ago/97;-1.184,10
set/97;-1.806,40
out/97;-1.950,00
nov/97;-2.100,50
dez/97;-2.043,80
jan/98;-1.560,80
fev/98;-933,5
mar/98;-1.758,40
abr/98;-874,2
mai/98;-949,9
jun/98;-655,8
jul/98;-1.490,20
ago/98;-1.048,70
set/98;-2.378,30
out/98;-2.615,70
nov/98;-1.765,20
dez/98;-1.479,50
jan/99;-1.357,00
fev/99;-217,1
mar/99;-652,2
abr/99;-595,5
mai/99;-266,9
jun/99;-1.033,10
jul/99;-603
ago/99;-867,5
set/99;-766,4
out/99;-810,2
nov/99;-1.223,50
dez/99;-685,4
jan/00;-573,9
fev/00;-367,4
mar/00;-671,7
abr/00;-430,4
mai/00;-328,6
jun/00;-475,2
jul/00;-709,4
ago/00;-703,6
set/00;-542,3
out/00;-1.360,80
nov/00;-1.452,50
dez/00;-1.217,80
jan/01;-1.226,50
fev/01;-488,9
mar/01;-1.022,20
abr/01;-428,3
mai/01;-710,3
jun/01;-717,1
jul/01;-808,1
ago/01;-70,3
set/01;20,1
out/01;-397,1
nov/01;-294
dez/01;91,1
jan/02;-152,1
fev/02;-184,9
mar/02;33,7
abr/02;-114,7
mai/02;-278,7
jun/02;155,2
jul/02;630,8
ago/02;1.129,20
set/02;2.056,50
out/02;1.876,90
nov/02;915
dez/02;1.164,60
jan/03;900,1
fev/03;767,7
mar/03;1.162,60
abr/03;1.202,10
mai/03;2.009,10
jun/03;1.708,80
jul/03;1.599,00
ago/03;2.113,40
set/03;2.037,90
out/03;1.914,40
nov/03;1.451,70
dez/03;2.161,60
jan/04;1.450,30
fev/04;1.732,50
mar/04;2.131,00
abr/04;1.451,30
mai/04;2.813,00
jun/04;3.211,00
jul/04;2.964,50
ago/04;2.872,60
set/04;2.683,00
out/04;2.601,40
nov/04;1.522,00
dez/04;2.784,40
jan/05;1.818,00
fev/05;2.362,30
mar/05;2.765,40
abr/05;3.235,50
mai/05;2.537,00
jun/05;2.969,20
jul/05;4.238,20
ago/05;2.760,10
set/05;3.526,20
out/05;2.977,20
nov/05;2.995,00
dez/05;3.358,20
jan/06;2.309,10
fev/06;2.098,70
mar/06;2.939,60
abr/06;2.364,20
mai/06;2.109,90
jun/06;2.972,80
jul/06;4.573,50
ago/06;3.485,70
set/06;3.474,20
out/06;2.826,00
nov/06;2.440,80
dez/06;4.114,30
jan/07;1.641,20
fev/07;1.955,70
mar/07;2.109,60
abr/07;3.271,70
mai/07;2.559,80
jun/07;2.332,80
jul/07;1.929,20
ago/07;2.387,90
set/07;2.261,40
out/07;1.944,90
nov/07;632,4
dez/07;2.353,90
jan/08;-192,6
fev/08;-478,8
mar/08;-203,9
abr/08;521,3
mai/08;2.098,30
jun/08;733,2
jul/08;1.674,80
ago/08;832,3
set/08;740,2
out/08;458,1
nov/08;339
dez/08;419,3
jan/09;-1.156,20
fev/09;797,7
mar/09;320,5
abr/09;2.077,80
mai/09;819,5
jun/09;2.581,80
jul/09;1.344,60
ago/09;1.289,80
set/09;-837,9
out/09;-803,1
nov/09;-1.236,80
dez/09;186,1
jan/10;-1.471,70
fev/10;-1.602,30
mar/10;-2.259,30
abr/10;-1.146,40
mai/10;832,3
jun/10;-579,9
jul/10;-1.542,70
ago/10;-308,7
set/10;-2.225,20
out/10;-1.209,70
nov/10;-2.547,40
dez/10;2.395,80
jan/11;-2.181,70
fev/11;-1.197,80
mar/11;-1.583,20
abr/11;-1.403,50
mai/11;-382,9
jun/11;867,8
jul/11;-506,5
ago/11;310,1
set/11;-121,3
out/11;-1.087,30
nov/11;-2.351,90
dez/11;96,8
jan/12;-4.771,30
fev/12;-1.086,50
mar/12;-1.356,00
abr/12;-2.383,10
mai/12;-840,1
jun/12;-2.641,90
jul/12;-727,5
ago/12;73
set/12;-967,6
out/12;-2.436,90
nov/12;-3.490,70
dez/12;-2.119,80
jan/13;-7.763,40
fev/13;-4.503,60
mar/13;-3.620,70
abr/13;-4.920,70
mai/13;-3.595,40
jun/13;-1.023,30
jul/13;-6.079,60
ago/13;-3.073,00
set/13;-2.643,60
out/13;-5.236,50
nov/13;-1.911,20
dez/13;-1.612,50
jan/14;-7.133,20
fev/14;-5.766,30
mar/14;-3.735,00
abr/14;-3.986,30
mai/14;-3.896,60
jun/14;-1.520,10
jul/14;-3.091,50
ago/14;-2.898,20
set/14;-5.757,70
out/14;-5.723,20
nov/14;-6.382,90
dez/14;-4.845,00
jan/15;-6.480,30
fev/15;-5.902,30
mar/15;-3.621,00
abr/15;-3.186,40
mai/15;-891,1
jun/15;916,7
jul/15;-711,2
ago/15;-244,5
set/15;-262,8
out/15;-1.045,80
nov/15;-1.385,10
dez/15;3.553,10
jan/16;-259,2
fev/16;862,2
mar/16;1.224,70
abr/16;2.023,00
mai/16;3.647,20
jun/16;46,3
jul/16;1.953,40
ago/16;1.611,10
set/16;933
out/16;-727,5
nov/16;2.107,70
dez/16;766,1
jan/17;-317
fev/17;1.601,70
mar/17;4.057,90
abr/17;3.886,20
mai/17;4.598,00
jun/17;3.419,10
jul/17;2.698,10
ago/17;2.077,10
set/17;1.708,10
out/17;1.875,50
nov/17;-228,6
dez/17;656,3
jan/18;-376,5
fev/18;21,4
mar/18;3.248,40
abr/18;2.481,80
mai/18;2.811,00
jun/18;2.321,70
jul/18;245,4
ago/18;-899,6
set/18;2.209,00
out/18;2.026,20
nov/18;694,3
dez/18;2.530,10
jan/19;-1.689,90
fev/19;476,8
mar/19;1.755,80
abr/19;1.987,70
mai/19;1.822,10
jun/19;814,1
jul/19;-1.822,80
ago/19;141,7
set/19;559,4
out/19;-1.693,60
nov/19;711,6
