Data;pib_mensal
jan/90;0,2
fev/90;0,4
mar/90;0,8
abr/90;0,7
mai/90;0,8
jun/90;0,8
jul/90;0,9
ago/90;1
set/90;1,1
out/90;1,4
nov/90;1,7
dez/90;1,8
jan/91;2,1
fev/91;2,4
mar/91;2,5
abr/91;3,1
mai/91;3,6
jun/91;4,1
jul/91;4,6
ago/91;5,3
set/91;5,6
out/91;7,5
nov/91;9,2
dez/91;10,5
jan/92;13,1
fev/92;16,3
mar/92;19,6
abr/92;23,6
mai/92;30,1
jun/92;37,5
jul/92;46,1
ago/92;56,7
set/92;70,8
out/92;89
nov/92;110,4
dez/92;127,7
jan/93;164
fev/93;206,9
mar/93;294,6
abr/93;368,1
mai/93;481,6
jun/93;613,5
jul/93;841,4
ago/93;1.149,50
set/93;1.578,40
out/93;2.071,30
nov/93;2.792,80
dez/93;3.534,90
jan/94;4.562,80
fev/94;5.793,00
mar/94;8.520,40
abr/94;12.828,80
mai/94;20.504,20
jun/94;33.126,60
jul/94;40.788,00
ago/94;43.873,40
set/94;43.836,20
out/94;45.234,90
nov/94;45.926,20
dez/94;44.210,20
jan/95;47.028,60
fev/95;49.954,50
mar/95;60.024,30
abr/95;57.789,50
mai/95;56.350,50
jun/95;56.726,20
jul/95;58.788,10
ago/95;60.950,30
set/95;60.610,80
out/95;63.428,10
nov/95;67.762,90
dez/95;66.577,70
jan/96;64.133,30
fev/96;62.202,20
mar/96;62.987,80
abr/96;64.019,10
mai/96;69.488,70
jun/96;71.103,00
jul/96;74.969,90
ago/96;74.798,80
set/96;71.744,60
out/96;77.200,10
nov/96;80.449,10
dez/96;81.667,10
jan/97;77.582,60
fev/97;71.072,80
mar/97;70.461,60
abr/97;73.576,40
mai/97;78.110,80
jun/97;81.202,40
jul/97;82.058,70
ago/97;82.132,50
set/97;81.987,30
out/97;87.297,20
nov/97;85.390,10
dez/97;81.216,80
jan/98;79.363,90
fev/98;75.828,10
mar/98;80.508,70
abr/98;81.166,10
mai/98;85.207,50
jun/98;85.562,40
jul/98;86.938,50
ago/98;86.371,30
set/98;84.733,50
out/98;87.302,80
nov/98;86.316,50
dez/98;83.051,80
jan/99;80.936,30
fev/99;80.929,10
mar/99;88.802,60
abr/99;87.739,00
mai/99;89.223,00
jun/99;91.746,90
jul/99;91.230,40
ago/99;92.283,40
set/99;90.611,80
out/99;95.872,40
nov/99;99.563,10
dez/99;98.772,50
jan/00;92.576,60
fev/00;91.770,40
mar/00;92.579,90
abr/00;91.376,20
mai/00;98.727,00
jun/00;102.685,40
jul/00;103.410,40
ago/00;105.177,80
set/00;100.307,60
out/00;106.951,10
nov/00;107.678,00
dez/00;105.851,60
jan/01;102.530,70
fev/01;101.635,30
mar/01;108.303,80
abr/01;107.572,00
mai/01;111.202,20
jun/01;104.949,40
jul/01;110.758,90
ago/01;113.064,70
set/01;108.700,80
out/01;116.139,00
nov/01;117.882,00
dez/01;113.016,70
jan/02;112.374,80
fev/02;111.477,10
mar/02;118.444,70
abr/02;120.385,90
mai/02;123.552,50
jun/02;123.424,40
jul/02;126.856,60
ago/02;127.800,10
set/02;125.137,80
out/02;133.125,40
nov/02;135.966,60
dez/02;130.241,20
jan/03;127.177,50
fev/03;131.373,60
mar/03;138.690,50
abr/03;141.388,10
mai/03;139.605,80
jun/03;137.993,40
jul/03;145.970,60
ago/03;144.819,40
set/03;148.559,80
out/03;154.925,90
nov/03;153.644,40
dez/03;153.801,40
jan/04;144.558,60
fev/04;142.861,30
mar/04;157.363,50
abr/04;156.953,90
mai/04;159.498,90
jun/04;165.342,20
jul/04;171.370,90
ago/04;169.178,90
set/04;164.702,50
out/04;170.536,50
nov/04;176.921,50
dez/04;178.462,40
jan/05;163.540,10
fev/05;160.701,60
mar/05;175.468,70
abr/05;177.178,90
mai/05;177.496,70
jun/05;180.881,80
jul/05;184.073,70
ago/05;187.246,60
set/05;181.538,90
out/05;189.183,00
nov/05;194.794,50
dez/05;198.480,10
jan/06;185.564,80
fev/06;178.482,20
mar/06;190.223,40
abr/06;185.030,60
mai/06;197.874,30
jun/06;199.071,90
jul/06;206.974,40
ago/06;209.818,00
set/06;201.055,30
out/06;214.271,70
nov/06;219.724,10
dez/06;221.359,10
jan/07;211.130,60
fev/07;202.703,90
mar/07;217.588,60
abr/07;215.128,50
mai/07;226.537,70
jun/07;228.988,50
jul/07;233.823,90
ago/07;235.019,10
set/07;223.002,90
out/07;241.939,40
nov/07;241.938,80
dez/07;242.461,10
jan/08;237.248,10
fev/08;232.681,30
mar/08;242.125,80
abr/08;248.795,20
mai/08;254.938,00
jun/08;265.791,90
jul/08;278.096,80
ago/08;269.235,70
set/08;265.270,10
out/08;280.522,40
nov/08;270.696,80
dez/08;264.400,90
jan/09;249.932,00
fev/09;244.020,20
mar/09;262.174,90
abr/09;259.557,80
mai/09;268.320,20
jun/09;275.699,50
jul/09;285.440,40
ago/09;284.240,70
set/09;283.162,20
out/09;301.896,10
nov/09;305.056,60
dez/09;313.538,80
jan/10;288.980,40
fev/10;285.739,00
mar/10;311.677,90
abr/10;307.106,90
mai/10;316.005,20
jun/10;321.032,80
jul/10;332.472,70
ago/10;334.225,30
set/10;331.236,80
out/10;344.965,90
nov/10;356.674,50
dez/10;355.729,60
jan/11;333.330,60
fev/11;335.117,60
mar/11;348.082,90
abr/11;349.255,00
mai/11;366.411,20
jun/11;371.046,40
jul/11;373.333,70
ago/11;377.006,00
set/11;361.994,50
out/11;378.842,50
nov/11;389.949,20
dez/11;392.012,30
jan/12;367.751,80
fev/12;367.852,50
mar/12;393.868,00
abr/12;382.581,20
mai/12;401.072,60
jun/12;399.470,40
jul/12;415.385,30
ago/12;420.727,90
set/12;394.335,80
out/12;423.408,50
nov/12;424.494,10
dez/12;423.812,00
jan/13;414.584,40
fev/13;399.106,30
mar/13;427.931,10
abr/13;439.449,90
mai/13;439.659,00
jun/13;443.478,50
jul/13;459.578,40
ago/13;454.222,90
set/13;440.332,00
out/13;468.523,60
nov/13;468.298,30
dez/13;476.454,70
jan/14;460.550,40
fev/14;456.108,90
mar/14;469.286,10
abr/14;476.296,70
mai/14;480.664,10
jun/14;465.327,60
jul/14;490.266,00
ago/14;485.880,80
set/14;485.979,50
out/14;502.784,50
nov/14;498.050,20
dez/14;507.758,30
jan/15;481.108,80
fev/15;467.039,10
mar/15;508.688,90
abr/15;493.525,40
mai/15;491.274,10
jun/15;495.331,40
jul/15;511.118,20
ago/15;501.192,90
set/15;495.908,60
out/15;517.785,40
nov/15;512.508,60
dez/15;520.305,70
jan/16;489.387,30
fev/16;491.642,30
mar/16;518.453,50
abr/16;509.808,30
mai/16;513.181,90
jun/16;535.295,40
jul/16;532.555,50
ago/16;533.586,00
set/16;511.082,80
out/16;525.854,20
nov/16;541.350,20
dez/16;567.130,70
jan/17;528.330,00
fev/17;515.918,00
mar/17;544.966,30
abr/17;525.795,30
mai/17;549.749,20
