Data;pib_mensal
jan/90;0,2
fev/90;0,4
mar/90;0,8
abr/90;0,7
mai/90;0,8
jun/90;0,8
jul/90;0,9
ago/90;1
set/90;1,1
out/90;1,4
nov/90;1,7
dez/90;1,8
jan/91;2,1
fev/91;2,4
mar/91;2,5
abr/91;3,1
mai/91;3,6
jun/91;4,1
jul/91;4,6
ago/91;5,3
set/91;5,6
out/91;7,5
nov/91;9,2
dez/91;10,5
jan/92;13,1
fev/92;16,3
mar/92;19,6
abr/92;23,6
mai/92;30,1
jun/92;37,5
jul/92;46,1
ago/92;56,7
set/92;70,8
out/92;89
nov/92;110,4
dez/92;127,7
jan/93;164
fev/93;206,9
mar/93;294,6
abr/93;368,1
mai/93;481,6
jun/93;613,5
jul/93;841,4
ago/93;1149,50
set/93;1578,40
out/93;2071,30
nov/93;2792,80
dez/93;3534,90
jan/94;4562,80
fev/94;5793,00
mar/94;8520,40
abr/94;12828,80
mai/94;20504,20
jun/94;33126,60
jul/94;40788,00
ago/94;43873,40
set/94;43836,20
out/94;45234,90
nov/94;45926,20
dez/94;44210,20
jan/95;47028,60
fev/95;49954,50
mar/95;60024,30
abr/95;57789,50
mai/95;56350,50
jun/95;56726,20
jul/95;58788,10
ago/95;60950,30
set/95;60610,80
out/95;63428,10
nov/95;67762,90
dez/95;66577,70
jan/96;64133,30
fev/96;62202,20
mar/96;62987,80
abr/96;64019,10
mai/96;69488,70
jun/96;71103,00
jul/96;74969,90
ago/96;74798,80
set/96;71744,60
out/96;77200,10
nov/96;80449,10
dez/96;81667,10
jan/97;77582,60
fev/97;71072,80
mar/97;70461,60
abr/97;73576,40
mai/97;78110,80
jun/97;81202,40
jul/97;82058,70
ago/97;82132,50
set/97;81987,30
out/97;87297,20
nov/97;85390,10
dez/97;81216,80
jan/98;79363,90
fev/98;75828,10
mar/98;80508,70
abr/98;81166,10
mai/98;85207,50
jun/98;85562,40
jul/98;86938,50
ago/98;86371,30
set/98;84733,50
out/98;87302,80
nov/98;86316,50
dez/98;83051,80
jan/99;80936,30
fev/99;80929,10
mar/99;88802,60
abr/99;87739,00
mai/99;89223,00
jun/99;91746,90
jul/99;91230,40
ago/99;92283,40
set/99;90611,80
out/99;95872,40
nov/99;99563,10
dez/99;98772,50
jan/00;92576,60
fev/00;91770,40
mar/00;92579,90
abr/00;91376,20
mai/00;98727,00
jun/00;102685,40
jul/00;103410,40
ago/00;105177,80
set/00;100307,60
out/00;106951,10
nov/00;107678,00
dez/00;105851,60
jan/01;102530,70
fev/01;101635,30
mar/01;108303,80
abr/01;107572,00
mai/01;111202,20
jun/01;104949,40
jul/01;110758,90
ago/01;113064,70
set/01;108700,80
out/01;116139,00
nov/01;117882,00
dez/01;113016,70
jan/02;112374,80
fev/02;111477,10
mar/02;118444,70
abr/02;120385,90
mai/02;123552,50
jun/02;123424,40
jul/02;126856,60
ago/02;127800,10
set/02;125137,80
out/02;133125,40
nov/02;135966,60
dez/02;130241,20
jan/03;127177,50
fev/03;131373,60
mar/03;138690,50
abr/03;141388,10
mai/03;139605,80
jun/03;137993,40
jul/03;145970,60
ago/03;144819,40
set/03;148559,80
out/03;154925,90
nov/03;153644,40
dez/03;153801,40
jan/04;144558,60
fev/04;142861,30
mar/04;157363,50
abr/04;156953,90
mai/04;159498,90
jun/04;165342,20
jul/04;171370,90
ago/04;169178,90
set/04;164702,50
out/04;170536,50
nov/04;176921,50
dez/04;178462,40
jan/05;163540,10
fev/05;160701,60
mar/05;175468,70
abr/05;177178,90
mai/05;177496,70
jun/05;180881,80
jul/05;184073,70
ago/05;187246,60
set/05;181538,90
out/05;189183,00
nov/05;194794,50
dez/05;198480,10
jan/06;185564,80
fev/06;178482,20
mar/06;190223,40
abr/06;185030,60
mai/06;197874,30
jun/06;199071,90
jul/06;206974,40
ago/06;209818,00
set/06;201055,30
out/06;214271,70
nov/06;219724,10
dez/06;221359,10
jan/07;211130,60
fev/07;202703,90
mar/07;217588,60
abr/07;215128,50
mai/07;226537,70
jun/07;228988,50
jul/07;233823,90
ago/07;235019,10
set/07;223002,90
out/07;241939,40
nov/07;241938,80
dez/07;242461,10
jan/08;237248,10
fev/08;232681,30
mar/08;242125,80
abr/08;248795,20
mai/08;254938,00
jun/08;265791,90
jul/08;278096,80
ago/08;269235,70
set/08;265270,10
out/08;280522,40
nov/08;270696,80
dez/08;264400,90
jan/09;249932,00
fev/09;244020,20
mar/09;262174,90
abr/09;259557,80
mai/09;268320,20
jun/09;275699,50
jul/09;285440,40
ago/09;284240,70
set/09;283162,20
out/09;301896,10
nov/09;305056,60
dez/09;313538,80
jan/10;288980,40
fev/10;285739,00
mar/10;311677,90
abr/10;307106,90
mai/10;316005,20
jun/10;321032,80
jul/10;332472,70
ago/10;334225,30
set/10;331236,80
out/10;344965,90
nov/10;356674,50
dez/10;355729,60
jan/11;333330,60
fev/11;335117,60
mar/11;348082,90
abr/11;349255,00
mai/11;366411,20
jun/11;371046,40
jul/11;373333,70
ago/11;377006,00
set/11;361994,50
out/11;378842,50
nov/11;389949,20
dez/11;392012,30
jan/12;367751,80
fev/12;367852,50
mar/12;393868,00
abr/12;382581,20
mai/12;401072,60
jun/12;399470,40
jul/12;415385,30
ago/12;420727,90
set/12;394335,80
out/12;423408,50
nov/12;424494,10
dez/12;423812,00
jan/13;414584,40
fev/13;399106,30
mar/13;427931,10
abr/13;439449,90
mai/13;439659,00
jun/13;443478,50
jul/13;459578,40
ago/13;454222,90
set/13;440332,00
out/13;468523,60
nov/13;468298,30
dez/13;476454,70
jan/14;460550,40
fev/14;456108,90
mar/14;469286,10
abr/14;476296,70
mai/14;480664,10
jun/14;465327,60
jul/14;490266,00
ago/14;485880,80
set/14;485979,50
out/14;502784,50
nov/14;498050,20
dez/14;507758,30
jan/15;481108,80
fev/15;467039,10
mar/15;508688,90
abr/15;493525,40
mai/15;491274,10
jun/15;495331,40
jul/15;511118,20
ago/15;501192,90
set/15;495908,60
out/15;517785,40
nov/15;512508,60
dez/15;520305,70
jan/16;489387,30
fev/16;491642,30
mar/16;518453,50
abr/16;509808,30
mai/16;513181,90
jun/16;535295,40
jul/16;532555,50
ago/16;533586,00
set/16;511082,80
out/16;525854,20
nov/16;541350,20
dez/16;567130,70
jan/17;528330,00
fev/17;515918,00
mar/17;544966,30
abr/17;525795,30
mai/17;549749,20
jun/17;558106,90
jul/17;559041,20
ago/17;557495,00
set/17;531143,90
out/17;552220,10
nov/17;568693,00
dez/17;591860,20
jan/18;559829,60
fev/18;533058,30
mar/18;564945,70
abr/18;564492,60
mai/18;552874,10
jun/18;587335,60
jul/18;590273,10
ago/18;589885,30
set/18;556776,60
out/18;591983,90
nov/18;593926,90
dez/18;603794,30
jan/19;578782,50
fev/19;568113,70
mar/19;578784,40
abr/19;591717,00
mai/19;604945,90
jun/19;599143,00
jul/19;627852,60
ago/19;615897,00
set/19;598360,60
out/19;619781,20
nov/19;627545,90
