"";"x"
"1";6.97390231852328
"2";6.84228394091685
"3";6.59543076239067
"4";6.5220715535663
"5";6.29161560290778
"6";6.23409967174354
"7";6.18410625147673
"8";5.97622671915265
"9";5.94052450352194
"10";5.87031924031278
"11";5.68280444698331
"12";5.58420174069331
"13";5.41345277091839
"14";5.26604506836527
"15";5.14338316571396
"16";4.99758916485297
"17";4.88307508181031
"18";4.74515364144713
"19";4.61097015376053
"20";4.50767434404329
"21";4.38059218825895
"22";4.26370080113142
"23";4.17052427627407
"24";4.06685754648561
"25";3.97915843386744
"26";3.89151984331515
"27";3.80357753410498
"28";3.72311094887126
"29";3.6410102095041
"30";3.56618784741229
"31";3.49404540616787
"32";3.41998759488403
"33";3.3529364453321
"34";3.2871764918228
"35";3.22037369011323
"36";3.15808007562771
