"";"x"
"1";6.71777463126526
"2";6.4911892477732
"3";6.30992093894792
"4";6.1649062902624
"5";6.04889457001374
"6";5.95608519277462
"7";5.88183769015118
"8";5.8224396873867
"9";5.77492128464253
"10";5.73690656202114
"11";5.70649478358318
"12";5.68216536056013
"13";5.66270182192354
"14";5.64713099083976
"15";5.63467432583312
"16";5.62470899371612
"17";5.61673672793317
"18";5.61035891523532
"19";5.60525666501986
"20";5.60117486480175
"21";5.59790942459066
"22";5.59529707239251
"23";5.59320719061056
"24";5.59153528516627
"25";5.59019776079584
"26";5.58912774128751
"27";5.58827172567125
"28";5.58758691317056
"29";5.58703906316388
"30";5.58660078315361
"31";5.58625015914147
"32";5.58596965992862
"33";5.58574526055582
"34";5.58556574105557
"35";5.58542212545376
"36";5.58530723297102
